Dates,Affected cases,Growth,Percentage of Growth,%/100
31-12-2019,27,27,0.000,0.000
03-01-2020,44,17,62.963,0.630
05-01-2020,59,15,34.091,0.341
17-01-2020,62,3,5.085,0.051
18-01-2020,121,59,95.161,0.952
19-01-2020,198,77,63.636,0.636
20-01-2020,291,93,46.970,0.470
21-01-2020,440,149,51.203,0.512
22-01-2020,571,131,29.773,0.298
23-01-2020,830,259,45.359,0.454
24-01-2020,1287,457,55.060,0.551
25-01-2020,1975,688,53.458,0.535
26-01-2020,2744,769,38.937,0.389
27-01-2020,4515,1771,64.541,0.645
28-01-2020,5974,1459,32.315,0.323
29-01-2020,7711,1737,29.076,0.291
30-01-2020,9692,1981,25.691,0.257
31-01-2020,11791,2099,21.657,0.217
01-02-2020,14380,2589,21.957,0.220
02-02-2020,17205,2825,19.645,0.196
03-02-2020,20438,3233,18.791,0.188
04-02-2020,24324,3886,19.014,0.190
05-02-2020,28018,3694,15.187,0.152
06-02-2020,31161,3143,11.218,0.112
07-02-2020,34546,3385,10.863,0.109
08-02-2020,37198,2652,7.677,0.077
09-02-2020,40171,2973,7.992,0.080
10-02-2020,48315,8144,20.273,0.203
11-02-2020,55220,6905,14.292,0.143
12-02-2020,58761,3541,6.413,0.064
13-02-2020,63851,5090,8.662,0.087
14-02-2020,66492,2641,4.136,0.041
15-02-2020,68500,2008,3.020,0.030
16-02-2020,70548,2048,2.990,0.030
17-02-2020,72436,1888,2.676,0.027
18-02-2020,74185,1749,2.415,0.024
19-02-2020,75002,817,1.101,0.011
20-02-2020,75891,889,1.185,0.012
21-02-2020,76288,397,0.523,0.005
22-02-2020,76936,648,0.849,0.008
23-02-2020,77150,214,0.278,0.003
24-02-2020,77658,508,0.658,0.007
25-02-2020,78064,406,0.523,0.005
26-02-2020,78497,433,0.555,0.006
27-02-2020,78824,327,0.417,0.004
28-02-2020,79251,427,0.542,0.005
29-02-2020,79824,573,0.723,0.007
01-03-2020,80026,202,0.253,0.003
02-03-2020,80151,125,0.156,0.002
03-03-2020,80270,119,0.148,0.001
04-03-2020,80409,139,0.173,0.002
05-03-2020,80552,143,0.178,0.002
06-03-2020,80651,99,0.123,0.001
07-03-2020,80695,44,0.055,0.001
08-03-2020,80735,40,0.050,0.000
09-03-2020,80754,19,0.024,0.000
10-03-2020,80778,24,0.030,0.000
11-03-2020,80793,15,0.019,0.000
12-03-2020,80813,20,0.025,0.000
13-03-2020,80824,11,0.014,0.000
14-03-2020,80844,20,0.025,0.000
15-03-2020,80860,16,0.020,0.000
16-03-2020,80881,21,0.026,0.000
17-03-2020,80894,13,0.016,0.000
18-03-2020,80928,34,0.042,0.000
19-03-2020,80967,39,0.048,0.000
20-03-2020,81008,41,0.051,0.001
21-03-2020,81054,46,0.057,0.001
22-03-2020,81093,39,0.048,0.000
23-03-2020,81171,78,0.096,0.001
24-03-2020,81218,47,0.058,0.001
25-03-2020,81285,67,0.082,0.001
26-03-2020,81340,55,0.068,0.001
27-03-2020,81394,54,0.066,0.001
