DATES,AFFECTED,GROWTH,Change in Daily Cases,,Growth %,%/100
30-01-2020,1,1,0,0,0,0
02-02-2020,2,1,0,0,100,1
03-02-2020,3,1,0,0,50,0.5
02-03-2020,5,2,1,33.33,66.67,0.67
03-03-2020,6,1,-1,-20,20,0.2
04-03-2020,28,22,21,350,366.67,3.67
05-03-2020,30,2,-20,-71.43,7.14,0.07
06-03-2020,31,1,-1,-3.33,3.33,0.03
07-03-2020,34,3,2,6.45,9.68,0.1
08-03-2020,39,5,2,5.88,14.71,0.15
09-03-2020,44,5,0,0,12.82,0.13
10-03-2020,50,6,1,2.27,13.64,0.14
11-03-2020,60,10,4,8,20,0.2
12-03-2020,73,13,3,5,21.67,0.22
13-03-2020,81,8,-5,-6.85,10.96,0.11
14-03-2020,97,16,8,9.88,19.75,0.2
15-03-2020,107,10,-6,-6.19,10.31,0.1
16-03-2020,118,11,1,0.93,10.28,0.1
17-03-2020,137,19,8,6.78,16.1,0.16
18-03-2020,151,14,-5,-3.65,10.22,0.1
19-03-2020,173,22,8,5.3,14.57,0.15
20-03-2020,223,50,28,16.18,28.9,0.29
21-03-2020,283,60,10,4.48,26.91,0.27
22-03-2020,360,77,17,6.01,27.21,0.27
23-03-2020,434,74,-3,-0.83,20.56,0.21
24-03-2020,519,85,11,2.53,19.59,0.2
25-03-2020,606,87,2,0.39,16.76,0.17
26-03-2020,694,88,1,0.17,14.52,0.15
27-03-2020,834,140,52,7.49,20.17,0.2
28-03-2020,918,84,-56,-6.71,10.07,0.1
29-03-2020,1024,106,22,2.4,11.55,0.12
30-03-2020,1251,227,121,11.82,22.17,0.22
31-03-2020,1417,166,-61,-4.88,13.27,0.13
